AGV,Action,TPID,SolveSeq,SolveResult
952,Reserve,4432,00000000,true
954,Reserve,1839,00000000,true
954,Reserve,2043,00000000,true
954,Reserve,2300,00000000,true
954,Reserve,2557,00000000,true
959,Reserve,5002,00000000,true
961,Reserve,4739,00000000,true
964,Reserve,5234,00000000,true
967,Reserve,5491,00000000,true
951,Release,3621
952,Release,4423
953,Release,4259
955,Release,4341
956,Release,3982
957,Release,4666
958,Release,4932
959,Release,4993
960,Release,5103
961,Release,4730
962,Release,4601
963,Release,5164
964,Release,5225
965,Release,5360
966,Release,5421
967,Release,5482
968,Release,5617
951,Reserve,3643,00000000,true
952,Reserve,4445,00000000,true
953,Reserve,4281,00000000,true
954,Reserve,2561,00000000,true
955,Reserve,4363,00000000,true
956,Reserve,4004,00000000,true
957,Reserve,4688,00000000,true
958,Reserve,4954,00000000,true
959,Reserve,5015,00000000,true
960,Reserve,5125,00000000,true
961,Reserve,4752,00000000,true
962,Reserve,4623,00000000,true
963,Reserve,5186,00000000,true
964,Reserve,5247,00000000,true
965,Reserve,5382,00000000,true
966,Reserve,5443,00000000,true
967,Reserve,5504,00000000,true
968,Reserve,5639,00000000,true
951,Reserve,3645,00000000,true
951,Reserve,3648,00000000,true
952,Reserve,4447,00000000,true
952,Reserve,4450,00000000,true
952,Release,4432
953,Reserve,4283,00000000,true
953,Reserve,4286,00000000,true
955,Reserve,4365,00000000,true
955,Reserve,4368,00000000,true
956,Reserve,4006,00000000,true
956,Reserve,4009,00000000,true
957,Reserve,4690,00000000,true
957,Reserve,4693,00000000,true
958,Reserve,4956,00000000,true
958,Reserve,4959,00000000,true
959,Reserve,5017,00000000,true
,ClaimedByOtherAGV,false
959,Release,5002
960,Reserve,5127,00000000,true
961,Reserve,4754,00000000,true
961,Reserve,4757,00000000,true
961,Release,4739
962,Reserve,4625,00000000,true
962,Reserve,4628,00000000,true
963,Reserve,5188,00000000,true
963,Reserve,5191,00000000,true
964,Reserve,5249,00000000,true
964,Reserve,5252,00000000,true
964,Release,5234
965,Reserve,5384,00000000,true
965,Reserve,5387,00000000,true
966,Reserve,5445,00000000,true
,ClaimedByOtherAGV,false
967,Reserve,5506,00000000,true
,ClaimedByOtherAGV,false
967,Release,5491
968,Reserve,5641,00000000,true
968,Reserve,5644,00000000,true
951,Reserve,3651,00000001,false
953,Reserve,4289,00000002,false
956,Reserve,4012,00000003,false
957,Reserve,4696,00000004,false
958,Reserve,4962,00000005,false
961,Reserve,4760,00000006,false
962,Reserve,4631,00000007,false
963,Reserve,5194,00000008,false
951,Reserve,3651,00000009,false
,ClaimedByOtherAGV,false
953,Reserve,4289,00000010,false
,ClaimedByOtherAGV,false
956,Reserve,4012,00000011,false
957,Reserve,4696,00000012,false
958,Reserve,4962,00000013,false
,ClaimedByOtherAGV,false
961,Reserve,4760,00000014,false
962,Reserve,4631,00000015,false
963,Reserve,5194,00000016,false
,ClaimedByOtherAGV,false
965,Reserve,5326,00000017,false
,ClaimedByOtherAGV,false
,ClaimedByOtherAGV,false
968,Reserve,5583,00000018,false
951,Reserve,3651,00000019,false
,ClaimedByOtherAGV,false
953,Reserve,4289,00000020,false
,ClaimedByOtherAGV,false
956,Reserve,4012,00000021,false
957,Reserve,4696,00000022,false
958,Reserve,4962,00000023,false
,ClaimedByOtherAGV,false
960,Reserve,5060,00000024,false
961,Reserve,4760,00000025,false
962,Reserve,4631,00000026,false
963,Reserve,5194,00000027,false
,ClaimedByOtherAGV,false
965,Reserve,5326,00000028,false
,ClaimedByOtherAGV,false
,ClaimedByOtherAGV,false
968,Reserve,5583,00000029,false
951,Reserve,3651,00000030,false
,ClaimedByOtherAGV,false
953,Reserve,4289,00000031,false
954,Reserve,2565,00000032,false
,ClaimedByOtherAGV,false
956,Reserve,4012,00000033,false
957,Reserve,4696,00000034,false
958,Reserve,4962,00000035,false
,ClaimedByOtherAGV,false
960,Reserve,5060,00000036,false
961,Reserve,4760,00000037,false
962,Reserve,4631,00000038,false
963,Reserve,5194,00000039,false
,ClaimedByOtherAGV,false
965,Reserve,5326,00000040,false
,ClaimedByOtherAGV,false
,ClaimedByOtherAGV,false
968,Reserve,5583,00000041,false
951,Reserve,3651,00000042,false
,ClaimedByOtherAGV,false
953,Reserve,4289,00000043,false
954,Reserve,2565,00000044,false
,ClaimedByOtherAGV,false
956,Reserve,4012,00000045,false
957,Reserve,4696,00000046,false
958,Reserve,4962,00000047,false
,ClaimedByOtherAGV,false
960,Reserve,5060,00000048,false
961,Reserve,4760,00000049,false
962,Reserve,4631,00000050,false
963,Reserve,5194,00000051,false
,ClaimedByOtherAGV,false
965,Reserve,5326,00000052,false
,ClaimedByOtherAGV,false
,ClaimedByOtherAGV,false
968,Reserve,5583,00000053,false
951,Reserve,3651,00000054,false
,ClaimedByOtherAGV,false
953,Reserve,4289,00000055,false
954,Reserve,2565,00000056,false
,ClaimedByOtherAGV,false
956,Reserve,4012,00000057,false
957,Reserve,4696,00000058,false
958,Reserve,4962,00000059,false
,ClaimedByOtherAGV,false
960,Reserve,5060,00000060,false
961,Reserve,4760,00000061,false
962,Reserve,4631,00000062,false
963,Reserve,5194,00000063,false
,ClaimedByOtherAGV,false
965,Reserve,5326,00000064,false
,ClaimedByOtherAGV,false
,ClaimedByOtherAGV,false
968,Reserve,5583,00000065,false
951,Reserve,3651,00000066,false
,ClaimedByOtherAGV,false
953,Reserve,4289,00000067,false
954,Reserve,2565,00000068,false
954,Release,1839
,ClaimedByOtherAGV,false
956,Reserve,4012,00000069,false
957,Reserve,4696,00000070,false
958,Reserve,4962,00000071,false
,ClaimedByOtherAGV,false
960,Reserve,5060,00000072,false
961,Reserve,4760,00000073,false
962,Reserve,4631,00000074,false
963,Reserve,5194,00000075,false
,ClaimedByOtherAGV,false
965,Reserve,5326,00000076,false
,ClaimedByOtherAGV,false
,ClaimedByOtherAGV,false
968,Reserve,5583,00000077,false
951,Reserve,3651,00000078,false
,ClaimedByOtherAGV,false
953,Reserve,4289,00000079,false
954,Reserve,2565,00000080,false
954,Release,2043
,ClaimedByOtherAGV,false
956,Reserve,4012,00000081,false
957,Reserve,4696,00000082,false
958,Reserve,4962,00000083,false
,ClaimedByOtherAGV,false
960,Reserve,5060,00000084,false
961,Reserve,4760,00000085,false
962,Reserve,4631,00000086,false
963,Reserve,5194,00000087,false
,ClaimedByOtherAGV,false
965,Reserve,5326,00000088,false
,ClaimedByOtherAGV,false
,ClaimedByOtherAGV,false
968,Reserve,5583,00000089,false
951,Reserve,3651,00000090,false
,ClaimedByOtherAGV,false
953,Reserve,4289,00000091,false
954,Reserve,2565,00000092,false
,ClaimedByOtherAGV,false
956,Reserve,4012,00000093,false
957,Reserve,4696,00000094,false
958,Reserve,4962,00000095,false
,ClaimedByOtherAGV,false
960,Reserve,5060,00000096,false
961,Reserve,4760,00000097,false
962,Reserve,4631,00000098,false
963,Reserve,5194,00000099,false
,ClaimedByOtherAGV,false
965,Reserve,5326,00000100,false
,ClaimedByOtherAGV,false
,ClaimedByOtherAGV,false
968,Reserve,5583,00000101,false
951,Reserve,3651,00000102,false
,ClaimedByOtherAGV,false
953,Reserve,4289,00000103,false
954,Reserve,2565,00000104,false
,ClaimedByOtherAGV,false
956,Reserve,4012,00000105,false
957,Reserve,4696,00000106,false
958,Reserve,4962,00000107,false
,ClaimedByOtherAGV,false
960,Reserve,5060,00000108,false
961,Reserve,4760,00000109,false
962,Reserve,4631,00000110,false
963,Reserve,5194,00000111,false
,ClaimedByOtherAGV,false
965,Reserve,5326,00000112,false
,ClaimedByOtherAGV,false
,ClaimedByOtherAGV,false
968,Reserve,5583,00000113,false
951,Reserve,3651,00000114,false
,ClaimedByOtherAGV,false
953,Reserve,4289,00000115,false
954,Reserve,2565,00000116,false
954,Release,2300
,ClaimedByOtherAGV,false
956,Reserve,4012,00000117,false
957,Reserve,4696,00000118,false
958,Reserve,4962,00000119,false
,ClaimedByOtherAGV,false
960,Reserve,5060,00000120,false
961,Reserve,4760,00000121,false
962,Reserve,4631,00000122,false
963,Reserve,5194,00000123,false
,ClaimedByOtherAGV,false
965,Reserve,5326,00000124,false
,ClaimedByOtherAGV,false
,ClaimedByOtherAGV,false
968,Reserve,5583,00000125,false
951,Reserve,3651,00000126,false
,ClaimedByOtherAGV,false
953,Reserve,4289,00000127,false
954,Reserve,2565,00000128,false
,ClaimedByOtherAGV,false
956,Reserve,4012,00000129,false
957,Reserve,4696,00000130,false
958,Reserve,4962,00000131,false
,ClaimedByOtherAGV,false
960,Reserve,5060,00000132,false
961,Reserve,4760,00000133,false
962,Reserve,4631,00000134,false
963,Reserve,5194,00000135,false
,ClaimedByOtherAGV,false
965,Reserve,5326,00000136,false
,ClaimedByOtherAGV,false
,ClaimedByOtherAGV,false
968,Reserve,5583,00000137,false
951,Reserve,3651,00000138,false
,ClaimedByOtherAGV,false
953,Reserve,4289,00000139,false
954,Reserve,2565,00000140,false
,ClaimedByOtherAGV,false
956,Reserve,4012,00000141,false
957,Reserve,4696,00000142,false
958,Reserve,4962,00000143,false
,ClaimedByOtherAGV,false
960,Reserve,5060,00000144,false
961,Reserve,4760,00000145,false
962,Reserve,4631,00000146,false
963,Reserve,5194,00000147,false
,ClaimedByOtherAGV,false
965,Reserve,5326,00000148,false
,ClaimedByOtherAGV,false
,ClaimedByOtherAGV,false
968,Reserve,5583,00000149,false
951,Reserve,3651,00000150,false
,ClaimedByOtherAGV,false
953,Reserve,4289,00000151,false
954,Reserve,2565,00000152,false
,ClaimedByOtherAGV,false
956,Reserve,4012,00000153,false
957,Reserve,4696,00000154,false
958,Reserve,4962,00000155,false
,ClaimedByOtherAGV,false
960,Reserve,5060,00000156,false
961,Reserve,4760,00000157,false
962,Reserve,4631,00000158,false
963,Reserve,5194,00000159,false
,ClaimedByOtherAGV,false
965,Reserve,5326,00000160,false
,ClaimedByOtherAGV,false
,ClaimedByOtherAGV,false
968,Reserve,5583,00000161,false
951,Reserve,3651,00000162,false
,ClaimedByOtherAGV,false
953,Reserve,4289,00000163,false
954,Reserve,2565,00000164,false
,ClaimedByOtherAGV,false
956,Reserve,4012,00000165,false
957,Reserve,4696,00000166,false
958,Reserve,4962,00000167,false
,ClaimedByOtherAGV,false
960,Reserve,5060,00000168,false
961,Reserve,4760,00000169,false
962,Reserve,4631,00000170,false
963,Reserve,5194,00000171,false
,ClaimedByOtherAGV,false
965,Reserve,5326,00000172,false
,ClaimedByOtherAGV,false
,ClaimedByOtherAGV,false
968,Reserve,5583,00000173,false
951,Reserve,3651,00000174,false
,ClaimedByOtherAGV,false
953,Reserve,4289,00000175,false
954,Reserve,2565,00000176,false
,ClaimedByOtherAGV,false
956,Reserve,4012,00000177,false
957,Reserve,4696,00000178,false
958,Reserve,4962,00000179,false
,ClaimedByOtherAGV,false
960,Reserve,5060,00000180,false
961,Reserve,4760,00000181,false
962,Reserve,4631,00000182,false
963,Reserve,5194,00000183,false
,ClaimedByOtherAGV,false
965,Reserve,5326,00000184,false
,ClaimedByOtherAGV,false
,ClaimedByOtherAGV,false
968,Reserve,5583,00000185,false
951,Reserve,3651,00000186,false
,ClaimedByOtherAGV,false
953,Reserve,4289,00000187,false
954,Reserve,2565,00000188,false
,ClaimedByOtherAGV,false
956,Reserve,4012,00000189,false
957,Reserve,4696,00000190,false
958,Reserve,4962,00000191,false
,ClaimedByOtherAGV,false
960,Reserve,5060,00000192,false
961,Reserve,4760,00000193,false
962,Reserve,4631,00000194,false
963,Reserve,5194,00000195,false
,ClaimedByOtherAGV,false
965,Reserve,5326,00000196,false
,ClaimedByOtherAGV,false
,ClaimedByOtherAGV,false
968,Reserve,5583,00000197,false
951,Reserve,3651,00000198,false
,ClaimedByOtherAGV,false
953,Reserve,4289,00000199,false
954,Reserve,2565,00000200,false
,ClaimedByOtherAGV,false
956,Reserve,4012,00000201,false
957,Reserve,4696,00000202,false
958,Reserve,4962,00000203,false
,ClaimedByOtherAGV,false
960,Reserve,5060,00000204,false
961,Reserve,4760,00000205,false
962,Reserve,4631,00000206,false
963,Reserve,5194,00000207,false
,ClaimedByOtherAGV,false
965,Reserve,5326,00000208,false
,ClaimedByOtherAGV,false
,ClaimedByOtherAGV,false
968,Reserve,5583,00000209,false
951,Reserve,3651,00000210,false
,ClaimedByOtherAGV,false
953,Reserve,4289,00000211,false
954,Reserve,2565,00000212,false
,ClaimedByOtherAGV,false
956,Reserve,4012,00000213,false
957,Reserve,4696,00000214,false
958,Reserve,4962,00000215,false
,ClaimedByOtherAGV,false
960,Reserve,5060,00000216,false
961,Reserve,4760,00000217,false
962,Reserve,4631,00000218,false
963,Reserve,5194,00000219,false
,ClaimedByOtherAGV,false
965,Reserve,5326,00000220,false
,ClaimedByOtherAGV,false
,ClaimedByOtherAGV,false
968,Reserve,5583,00000221,false
951,Reserve,3651,00000222,false
,ClaimedByOtherAGV,false
953,Reserve,4289,00000223,false
954,Reserve,2565,00000224,false
,ClaimedByOtherAGV,false
956,Reserve,4012,00000225,false
957,Reserve,4696,00000226,false
958,Reserve,4962,00000227,false
,ClaimedByOtherAGV,false
960,Reserve,5060,00000228,false
961,Reserve,4760,00000229,false
962,Reserve,4631,00000230,false
963,Reserve,5194,00000231,false
,ClaimedByOtherAGV,false
965,Reserve,5326,00000232,false
,ClaimedByOtherAGV,false
,ClaimedByOtherAGV,false
