AGV,Action,TPID,SolveSeq,SolveResult
952,Reserve,4432,NotCross,true
954,Reserve,1839,NotCross,true
954,Reserve,2043,NotCross,true
954,Reserve,2300,NotCross,true
954,Reserve,2557,NotCross,true
959,Reserve,5002,NotCross,true
961,Reserve,4739,NotCross,true
964,Reserve,5234,NotCross,true
967,Reserve,5491,NotCross,true
954,Reserve,2814,NotCross,true
954,Reserve,3071,NotCross,true
951,Reserve,3643,NotCross,true
951,Reserve,3645,00000000,true
952,Reserve,4445,NotCross,true
952,Reserve,4447,00000000,true
953,Reserve,4281,NotCross,true
953,Reserve,4283,00000000,true
954,Reserve,3328,00000000,true
955,Reserve,4363,NotCross,true
955,Reserve,4365,00000000,true
956,Reserve,4004,NotCross,true
956,Reserve,4006,00000000,true
957,Reserve,4688,NotCross,true
957,Reserve,4690,00000000,true
958,Reserve,4954,NotCross,true
958,Reserve,4956,00000000,true
959,Reserve,5015,NotCross,true
959,Reserve,5017,00000000,true
960,Reserve,5125,NotCross,true
960,Reserve,5127,00000000,true
961,Reserve,4752,NotCross,true
961,Reserve,4754,00000000,true
962,Reserve,4623,NotCross,true
962,Reserve,4625,00000000,true
963,Reserve,5186,NotCross,true
963,Reserve,5188,00000000,true
964,Reserve,5247,NotCross,true
964,Reserve,5249,00000000,true
965,Reserve,5382,NotCross,true
965,Reserve,5384,00000000,true
966,Reserve,5443,NotCross,true
966,Reserve,5445,00000000,true
967,Reserve,5504,NotCross,true
967,Reserve,5506,00000000,true
968,Reserve,5639,NotCross,true
968,Reserve,5641,NotCross,true
952,Reserve,4450,00000001,true
953,Reserve,4286,00000002,true
955,Reserve,4368,00000003,true
956,Reserve,4009,00000004,true
957,Reserve,4693,NotCross,true
958,Reserve,4959,NotCross,true
959,Reserve,5020,NotCross,true
960,Reserve,5130,NotCross,true
961,Reserve,4757,NotCross,true
962,Reserve,4628,00000005,true
964,Reserve,5252,NotCross,true
965,Reserve,5387,NotCross,true
966,Reserve,5448,NotCross,true
952,Reserve,4453,00000006,true
952,Reserve,4454,NotCross,true
958,Reserve,4962,00000007,true
958,Reserve,4963,NotCross,true
959,Reserve,5023,00000008,true
960,Reserve,5133,00000009,true
961,Reserve,4760,00000010,true
961,Reserve,4761,NotCross,true
962,Reserve,4631,00000011,true
964,Reserve,5255,00000012,true
965,Reserve,5390,00000013,true
966,Reserve,5451,NotCross,true
951,Reserve,3554,00000014,true
954,Reserve,3324,00000015,true
968,Reserve,5580,NotCross,true
953,Reserve,4204,00000016,true
956,Reserve,3921,00000017,true
952,Release,4447
958,Release,4956
961,Release,4754
964,Reserve,5194,00000018,true
965,Reserve,5329,00000019,true
952,Reserve,4464,NotCross,true
952,Reserve,4465,NotCross,true
952,Release,4450
958,Reserve,4973,NotCross,true
958,Reserve,4974,NotCross,true
960,Reserve,5066,00000020,true
961,Reserve,4771,NotCross,true
961,Reserve,4772,NotCross,true
962,Reserve,4524,00000021,true
964,Reserve,5195,NotCross,true
951,Reserve,3478,00000022,true
952,Reserve,4468,NotCross,true
958,Reserve,4977,00000023,true
961,Reserve,4775,00000024,true
961,Release,4760
968,Reserve,5543,NotCross,true
952,Release,4453
953,Reserve,4143,00000025,true
954,Reserve,3320,00000026,true
956,Reserve,3833,00000027,true
958,Release,4962
959,Reserve,4962,00000028,true
961,Reserve,4778,NotCross,true
959,Reserve,4901,00000029,true
965,Reserve,5292,00000030,true
958,Reserve,5038,00000031,true
951,Reserve,3410,00000032,true
952,Reserve,4539,00000033,true
962,Reserve,4453,00000034,true
961,Reserve,4818,NotCross,true
953,Reserve,4146,00000035,true
956,Reserve,3796,00000036,true
962,Release,4625
960,Release,5127
959,Release,5017
963,Reserve,5127,00000037,true
963,Reserve,5060,00000038,true
964,Release,5249
965,Release,5384
966,Release,5445
967,Reserve,5445,00000039,true
967,Reserve,5384,00000040,true
967,Reserve,5323,00000041,true
953,Reserve,4147,NotCross,true
959,Reserve,4840,00000042,true
954,Reserve,3316,00000043,true
953,Release,4283
956,Release,4006
958,Reserve,5081,00000044,true
962,Reserve,4371,00000045,true
961,Reserve,4858,NotCross,true
963,Reserve,5017,00000046,true
952,Reserve,4646,NotCross,true
956,Reserve,3739,00000047,true
962,Release,4628
954,Release,3328
957,Reserve,4628,00000048,true
957,Reserve,4521,NotCross,true
959,Reserve,4800,00000049,true
967,Reserve,5286,00000050,true
951,Release,3645
951,Reserve,3404,00000051,true
953,Release,4286
954,Reserve,3312,00000052,true
956,Release,4009
955,Reserve,4286,00000053,true
962,Reserve,4289,00000054,true
961,Reserve,4919,NotCross,true
963,Reserve,4956,00000055,true
964,Reserve,5205,NotCross,true
952,Reserve,4711,NotCross,true
956,Reserve,3648,00000056,true
957,Reserve,4450,00000057,true
958,Reserve,5148,00000058,true
962,Release,4631
959,Release,5023
963,Release,5188
964,Release,5255
965,Reserve,5255,00000059,true
965,Release,5390
966,Reserve,5390,00000060,true
967,Release,5506
968,Reserve,5506,00000061,true
957,Release,4690
960,Reserve,5023,00000062,true
959,Reserve,4760,00000063,true
964,Reserve,5206,NotCross,true
967,Reserve,5249,00000064,true
951,Release,3554
954,Release,3324
960,Release,5133
961,Release,4775
953,Release,4204
956,Release,3921
955,Reserve,4204,00000065,true
955,Release,4365
962,Reserve,4207,00000066,true
961,Reserve,4980,NotCross,true
963,Reserve,4895,00000067,true
951,Reserve,3400,00000068,true
952,Reserve,4775,00000069,true
954,Reserve,3308,00000070,true
954,Release,3320
956,Reserve,3557,00000071,true
958,Reserve,5209,00000072,true
959,Release,4962
963,Release,5127
964,Release,5194
965,Reserve,5194,00000073,true
965,Reserve,5133,00000074,true
965,Release,5329
966,Reserve,5329,00000075,true
967,Release,5445
968,Reserve,5445,00000076,true
954,Reserve,3304,00000077,true
956,Release,3833
958,Release,4977
962,Release,4524
960,Reserve,4962,00000078,true
959,Reserve,4696,00000079,true
967,Reserve,5188,00000080,true
951,Release,3478
953,Reserve,4157,NotCross,true
954,Reserve,3300,00000081,true
954,Release,3316
956,Reserve,3481,00000082,true
959,Release,4901
965,Release,5292
966,Reserve,5292,00000083,true
967,Release,5384
968,Reserve,5384,00000084,true
953,Release,4143
954,Reserve,3296,00000085,true
