AGV,Action,TPID,SolveSeq,SolveResult
951,Reserve,5038,00002122,false
954,Reserve,4901,00002123,false
953,Reserve,2146,00002124,false
952,Reserve,5066,00002125,false
955,Reserve,4895,00002126,false
956,Reserve,3051,00002127,false
957,Reserve,3156,00002128,false
958,Reserve,5292,00002129,false
959,Reserve,2569,00002130,false
960,Reserve,2372,00002131,false
963,Reserve,1827,NotCross,true
963,Reserve,2031,NotCross,true
963,Reserve,2288,00002132,false
964,Reserve,4094,00002133,false
965,Reserve,2103,00002134,false
966,Reserve,3666,00002135,false
967,Reserve,4628,00002136,false
968,Reserve,3669,00002137,false
951,Reserve,5038,00002138,false
954,Reserve,4901,00002139,false
953,Reserve,2146,00002140,false
952,Reserve,5066,00002141,false
955,Reserve,4895,00002142,false
956,Reserve,3051,00002143,false
957,Reserve,3156,00002144,false
958,Reserve,5292,00002145,false
959,Reserve,2569,00002146,false
960,Reserve,2372,00002147,false
963,Reserve,2288,00002148,false
964,Reserve,4094,00002149,false
965,Reserve,2103,00002150,false
966,Reserve,3666,00002151,false
967,Reserve,4628,00002152,false
968,Reserve,3669,00002153,false
951,Reserve,5038,00002154,false
954,Reserve,4901,00002155,false
953,Reserve,2146,00002156,false
952,Reserve,5066,00002157,false
955,Reserve,4895,00002158,false
956,Reserve,3051,00002159,false
957,Reserve,3156,00002160,false
958,Reserve,5292,00002161,false
959,Reserve,2569,00002162,false
960,Reserve,2372,00002163,false
963,Reserve,2288,00002164,false
964,Reserve,4094,00002165,false
965,Reserve,2103,00002166,false
966,Reserve,3666,00002167,false
967,Reserve,4628,00002168,false
968,Reserve,3669,00002169,false
951,Reserve,5038,00002170,false
954,Reserve,4901,00002171,false
953,Reserve,2146,00002172,false
952,Reserve,5066,00002173,false
955,Reserve,4895,00002174,false
956,Reserve,3051,00002175,false
957,Reserve,3156,00002176,false
958,Reserve,5292,00002177,false
959,Reserve,2569,00002178,false
960,Reserve,2372,00002179,false
963,Reserve,2288,00002180,false
964,Reserve,4094,00002181,false
965,Reserve,2103,00002182,false
966,Reserve,3666,00002183,false
967,Reserve,4628,00002184,false
968,Reserve,3669,00002185,false
951,Reserve,5038,00002186,false
954,Reserve,4901,00002187,false
953,Reserve,2146,00002188,false
952,Reserve,5066,00002189,false
955,Reserve,4895,00002190,false
956,Reserve,3051,00002191,false
957,Reserve,3156,00002192,false
958,Reserve,5292,00002193,false
959,Reserve,2569,00002194,false
960,Reserve,2372,00002195,false
963,Reserve,2288,00002196,false
964,Reserve,4094,00002197,false
965,Reserve,2103,00002198,false
966,Reserve,3666,00002199,false
967,Reserve,4628,00002200,false
968,Reserve,3669,00002201,false
951,Reserve,5038,00002202,false
954,Reserve,4901,00002203,false
953,Reserve,2146,00002204,false
952,Reserve,5066,00002205,false
955,Reserve,4895,00002206,false
956,Reserve,3051,00002207,false
957,Reserve,3156,00002208,false
958,Reserve,5292,00002209,false
959,Reserve,2569,00002210,false
960,Reserve,2372,00002211,false
963,Reserve,2288,00002212,false
964,Reserve,4094,00002213,false
965,Reserve,2103,00002214,false
966,Reserve,3666,00002215,false
967,Reserve,4628,00002216,false
968,Reserve,3669,00002217,false
951,Reserve,5038,00002218,false
954,Reserve,4901,00002219,false
953,Reserve,2146,00002220,false
952,Reserve,5066,00002221,false
955,Reserve,4895,00002222,false
956,Reserve,3051,00002223,false
957,Reserve,3156,00002224,false
958,Reserve,5292,00002225,false
959,Reserve,2569,00002226,false
960,Reserve,2372,00002227,false
963,Reserve,2288,00002228,false
964,Reserve,4094,00002229,false
965,Reserve,2103,00002230,false
966,Reserve,3666,00002231,false
967,Reserve,4628,00002232,false
968,Reserve,3669,00002233,false
951,Reserve,5038,00002234,false
954,Reserve,4901,00002235,false
953,Reserve,2146,00002236,false
952,Reserve,5066,00002237,false
955,Reserve,4895,00002238,false
956,Reserve,3051,00002239,false
957,Reserve,3156,00002240,false
958,Reserve,5292,00002241,false
959,Reserve,2569,00002242,false
960,Reserve,2372,00002243,false
963,Reserve,2288,00002244,false
