951	1	67
952	1	74
953	1	72
954	1	46
955	1	73
956	1	70
957	1	76
958	1	79
959	1	80
960	1	81
961	1	77
962	1	75
963	1	82
964	1	83
965	1	84
966	1	85
967	1	86
968	1	87
969	1	14
970	1	16
971	1	19
972	1	22
973	1	25
974	1	28
975	1	31
976	1	33
977	1	37
978	1	38
979	1	42
980	1	53
981	1	55
982	1	57
983	1	59
984	1	34
985	1	47
986	1	92
987	1	97
988	1	103
989	1	115
990	1	121
991	1	15
992	1	18
993	1	117
994	1	27
995	1	35
996	1	44
997	1	49
998	1	107
999	1	108
1000	1	113
